51,84,86
37,20,19
60,43,63
26,72,44
96,49,26
55,67,23
37,23,70
66,64,83
30,41,43
80,29,3
18,82,80
78,18,33
46,9,2
55,16,83
3,4,44
93,56,14
97,77,90
19,61,88
74,55,23
77,5,23
69,56,42
1,1,14
73,68,88
31,19,29
97,76,60
20,79,31
60,52,32
22,16,100
72,76,6
33,1,55
61,94,57
4,34,90
94,59,11
30,84,20
20,6,36
20,80,25
20,59,17
38,67,40
75,17,31
36,94,78
36,31,70
83,67,70
26,67,57
30,2,89
98,37,23
73,90,83
75,88,8
81,73,8
25,1,50
62,81,68
12,93,98
86,51,7
48,80,16
9,93,92
9,65,20
74,44,49
99,96,69
96,52,21
17,24,89
77,75,72
65,19,10
26,43,31
42,52,84
55,5,95
60,55,31
55,14,84
37,64,91
94,28,78
16,48,18
33,25,9
73,92,45
58,81,38
42,20,89
63,28,54
42,100,73
83,25,26
78,86,85
99,73,42
99,95,94
91,49,26
94,25,26
46,63,46
10,60,37
86,50,71
86,51,24
5,14,5
86,86,1
71,2,90
85,74,20
82,33,78
77,46,98
56,76,41
86,51,26
65,100,29
48,45,25
86,73,80
75,41,34
61,56,85
56,68,29
24,58,54
47,42,40
65,7,68
67,38,37
27,37,61
81,42,10
72,83,30
95,61,76
36,56,62
20,18,64
45,93,99
68,83,26
35,21,93
21,53,60
72,13,22
18,53,57
22,73,15
98,83,29
99,69,43
96,27,90
8,20,40
27,1,90
32,75,64
30,25,4
10,36,26
41,99,52
71,76,58
63,69,2
60,17,91
56,56,27
15,42,6
20,55,89
78,96,85
85,9,7
59,44,68
92,58,63
55,51,7
25,1,25
89,11,88
76,73,56
60,41,25
23,28,55
88,23,92
44,4,25
39,19,4
40,55,13
39,86,10
56,22,34
13,28,86
47,81,100
68,17,36
20,60,23
48,34,81
20,40,55
59,51,92
89,29,24
15,60,20
16,13,23
34,45,76
1,68,16
77,75,44
75,36,87
10,88,42
68,39,1
12,31,51
21,22,6
74,60,9
57,80,20
30,53,65
14,79,38
64,61,6
99,92,63
60,72,10
6,45,68
92,18,20
83,23,87
51,86,65
0,10,79
27,8,17
29,7,99
66,44,62
0,77,98
54,67,13
5,85,27
32,52,90
6,20,69
46,92,87
6,74,19
23,98,37
66,76,58
18,62,66
16,22,8
10,9,22
68,16,63
73,79,56
38,35,4
58,77,91
73,23,13
56,7,56
89,76,91
70,92,60
